LV,NODE,L1,DATA_TIME,U,IR,IX
1,354010389388,A,2019-04-19 02:00:00,230.8,0.948262758,-2.329303692
1,354010389388,A,2019-04-19 06:00:00,230,-7.370356498,23.95104457
1,354010389388,A,2019-04-20 22:30:00,228.9,-5.946173497,19.23356434
1,354010389386,A,2019-04-20 22:30:00,228.32,21.84876256,0.878874531
1,354010389384,A,2019-04-19 18:30:00,228.4,0.048577937,0.378732072
1,354019022842,A,2019-04-18 15:45:00,229.5,0,0
1,354010389384,A,2019-04-18 23:00:00,229.2,0.051155089,0.378496329
1,354019022839,A,2019-04-18 16:15:00,228.8285714,15.71410847,-10.52657426
1,354010389385,A,2019-04-20 07:30:00,229.72,5.314644882,-8.279244181
1,354010389382,A,2019-04-20 10:15:00,226.96,60.77563672,37.94346216
1,354010389384,A,2019-04-20 22:30:00,229.3,-0.764692012,0.57761497
1,354010389386,A,2019-04-19 20:00:00,226.42,27.44751496,13.50395086
1,354019022842,A,2019-04-18 02:15:00,231.5,0,0
1,354010389382,A,2019-04-19,229.5,39.10539998,34.46147085
1,354019022843,A,2019-04-19 09:15:00,229.15,12.73730539,-0.419753122
1,354019022841,A,2019-04-19 15:00:00,229.8,1.167272658,4.329937941
1,354010389381,A,2019-04-18 13:30:00,229.3714286,-3.767616099,1.600541664
1,354010389383,A,2019-04-19 01:30:00,231.3857143,2.961257057,4.148174015
1,354019022843,A,2019-04-20 14:15:00,229.55,19.71244439,1.537063782
1,354010389385,A,2019-04-19 23:00:00,229.66,31.43291536,-7.145104586
1,354019022842,A,2019-04-18 13:30:00,228.9,0,0
1,354010389382,A,2019-04-20 05:30:00,230.16,31.53424367,25.78842418
1,354010389382,A,2019-04-19 21:45:00,227.68,52.88901102,20.23031569
1,354019022843,A,2019-04-19 02:00:00,231.55,22.21133704,1.429094549
1,354010389384,A,2019-04-20 20:15:00,226.4,0.050978778,0.37761677
1,354019022841,A,2019-04-19 16:00:00,229.5,2.094410664,4.787334097
1,354019022843,A,2019-04-19 13:30:00,229.35,17.94298845,4.229643605
1,354010389388,A,2019-04-18 13:30:00,228.5,12.58693505,5.550260417
1,354013332709,A,2019-04-20 05:00:00,231.7666667,-6.989082122,-13.72147822
1,354010389384,A,2019-04-20 07:15:00,229.7,0.032288894,0.362662103
1,354010389383,A,2019-04-18 21:00:00,228.1,0.929523139,-3.579480416
1,354019022842,A,2019-04-20 11:15:00,227.8,0,0
1,354019022843,A,2019-04-18 12:15:00,228.9,15.91833952,2.005907229
1,354010389386,A,2019-04-18 20:30:00,228.96,-17.59719002,-0.215738728
1,354019022842,A,2019-04-20 08:45:00,229.8,0,0
1,354019022843,A,2019-04-18 10:00:00,229.3,7.291981511,0.862515126
1,354010389384,A,2019-04-19 10:45:00,228.4,0.031892705,0.368585893
